,Label,3875,3850
CWN_AAO,1,0,1
CWN_ABO,1,0,0
CWN_ACO,1,0,0
CWN_ADO,1,0,0
CWN_AEO,1,0,1
CWN_AFO,1,0,0
CWN_AGO,1,0,0
CWN_AHO,1,0,1
CWN_AIO,1,0,0
CWN_AJO,1,0,0
CWN_AKO,1,0,0
CWN_ALO,1,0,0
CWN_AMO,1,0,0
CWN_ANO,1,0,0
CWN_APO,5,1,0
CWN_AQO,5,1,0
CWN_ARO,5,1,1
CWN_ASO,5,1,0
CWN_ATO,5,1,0
CWN_AUO,5,1,0
CWN_AVO,3,0,0
CWN_AWO,3,0,0
CWN_AZO,3,0,0
CWN_BAO,3,0,0
CWN_BDO,3,0,0
CWN_BIO,2,0,0
CWN_BJO,2,0,0
CWN_BKO,2,0,0
CWN_BLO,2,0,0
CWN_BMO,2,0,0
CWN_BNO,2,0,0
CWN_BOO,2,0,0
CWN_BQO,2,0,0
CWN_BRO,2,0,0
CWN_BSO,2,0,0
CWN_BTO,2,0,0
CWN_BUO,2,0,0
CWN_BVO,2,0,0
CWN_BWO,2,0,0
CWN_BXO,2,0,0
CWN_BYO,2,0,0
CWN_BZO,3,0,0
CWN_CAO,3,0,0
CWN_CBO,3,0,0
CWN_CCO,3,0,0
CWN_CDO,4,0,1
CWN_CEO,4,0,1
CWN_CFO,4,0,0
CWN_CGO,4,0,0
CWN_CHO,4,0,1
CWN_CIO,2,0,0
CWN_CJO,2,0,0
DDI_AAO,1,0,0
DDI_ABO,1,0,0
DDI_ACO,1,0,1
DDI_ADO,1,0,0
DDI_AEO,1,0,0
DDI_AFO,1,0,0
DDI_AGO,1,0,0
DDI_AHO,1,0,0
DDI_AIO,1,0,0
DDI_AJO,1,0,0
DDI_AKO,1,0,0
DDI_ALO,2,0,0
SRR13661968,5,1,0
SRR13661969,5,1,0
SRR13661970,5,1,0
SRR13661971,5,1,1
SRR13661972,5,1,1
SRR13661973,5,1,0
SRR13661974,5,1,0
SRR13661976,5,1,0
SRR13661977,5,1,0
SRR13661978,2,0,0
SRR13661979,5,0,1
SRR13661980,5,1,0
SRR13661981,5,1,0
SRR13661982,5,1,0
SRR13661983,5,1,0
SRR13661985,5,1,0
SRR13661986,5,1,0
SRR13661987,5,1,0
SRR13661989,4,0,0
SRR13661990,5,1,0
SRR13661991,5,1,0
SRR13661992,5,1,0
SRR13661993,5,1,0
SRR13661994,5,1,0
SRR13661995,5,1,0
SRR13661996,2,0,0
SRR13661997,2,0,0
SRR13661998,2,0,0
SRR13661999,2,0,0
SRR13662000,4,0,1
SRR13662001,2,0,0
SRR13662002,2,0,0
SRR13662004,2,0,0
SRR13662005,2,0,0
SRR13662006,2,0,0
SRR13662007,2,0,0
SRR13662008,2,0,0
SRR13662009,2,0,0
SRR13662010,2,0,0
SRR13662011,4,1,0
SRR13662012,2,0,0
SRR13662013,2,0,0
SRR13662014,2,0,0
SRR13662015,2,0,0
SRR13662016,2,0,0
SRR13662018,2,0,0
SRR13662019,2,0,0
SRR13662021,2,0,0
SRR13662022,4,0,1
SRR13662023,2,0,0
SRR13662025,2,0,0
SRR13662027,2,0,0
SRR13662028,2,0,0
SRR13662029,2,0,0
SRR13662030,2,0,0
SRR13662031,2,0,0
SRR13662032,2,0,0
SRR13662033,4,0,0
SRR13662034,2,0,0
SRR13662035,2,0,0
SRR13662037,2,0,0
SRR13662038,2,0,0
SRR13662039,2,0,0
SRR13662040,2,0,0
SRR13662041,2,0,0
SRR13662042,2,0,0
SRR13662043,2,0,0
SRR13662044,4,1,0
SRR13662045,2,0,0
SRR13662046,2,0,0
SRR13662047,2,0,0
SRR13662048,2,0,0
SRR13662049,2,0,0
SRR13662050,2,0,0
SRR13662051,2,0,0
SRR13662052,2,0,0
SRR13662053,2,0,0
SRR13662054,2,0,0
SRR13662055,4,1,0
SRR13662056,2,0,0
SRR13662057,2,0,0
SRR13662058,2,0,0
SRR13662060,5,1,0
SRR13662061,5,1,0
SRR13662062,2,0,0
SRR13662063,5,1,0
SRR13662064,5,0,1
SRR13662065,5,0,1
SRR13662066,5,0,1
SRR13662067,5,1,0
SRR13662068,5,1,0
SRR13662069,5,1,1
SRR13662070,5,1,0
SRR13662071,5,0,1
SRR13662073,2,0,0
SRR13662074,5,1,0
SRR13662075,5,1,0
SRR13662076,5,1,0
SRR13662077,5,1,0
SRR13662078,5,1,0
SRR13662079,5,1,0
SRR13662081,5,0,1
SRR13662082,5,1,0
SRR13662083,5,1,0
SRR13662085,5,1,0
SRR13662086,5,1,0
SRR13662087,5,1,0
SRR13662088,5,1,0
SRR13662089,5,1,0
SRR13662090,5,0,1
SRR13662091,5,0,1
SRR13662092,5,0,1
SRR13662093,5,1,0
SRR13662094,5,1,0
SRR13662095,2,0,0
SRR13662096,5,1,0
SRR13662097,5,1,0
SRR13662098,5,1,0
SRR13662099,5,0,0
SRR13662100,5,0,1
SRR13662101,5,0,1
SRR13662102,5,0,1
SRR13662103,5,1,0
SRR13662104,5,1,0
SRR13662105,5,1,0
SRR13662106,2,0,0
SRR13662107,5,1,0
SRR13662108,5,1,0
SRR13662109,5,1,0
SRR13662110,5,1,0
SRR13662111,5,1,0
SRR13662112,5,1,0
SRR13662113,5,1,0
SRR13662114,5,1,0
