,Label,3875,7863,3874,3319,7859,7864,3199,6182,5262
CWN_AAO,0,0,0,1,1,1,1,1,1,1
CWN_ABO,0,0,0,1,1,1,1,1,0,1
CWN_ACO,0,0,0,1,1,1,1,1,1,1
CWN_ADO,0,0,0,1,1,1,1,1,0,1
CWN_AEO,0,0,0,1,1,1,1,1,0,1
CWN_AFO,0,0,0,1,1,1,1,1,1,1
CWN_AGO,0,0,0,1,1,1,1,1,1,0
CWN_AHO,0,0,0,1,1,1,1,1,0,1
CWN_AIO,0,0,0,1,1,1,1,1,0,1
CWN_AJO,0,0,0,1,1,1,1,1,1,1
CWN_AKO,0,0,0,1,1,1,1,1,1,1
CWN_ALO,0,0,0,1,1,1,1,1,1,1
CWN_AMO,0,0,0,1,1,1,1,1,1,1
CWN_ANO,0,0,0,1,1,1,1,1,0,1
CWN_APO,1,1,1,0,0,0,0,0,0,0
CWN_AQO,1,1,1,0,0,0,0,0,0,0
CWN_ARO,1,1,1,0,0,0,0,0,0,1
CWN_ASO,1,1,1,1,1,0,0,1,0,1
CWN_ATO,1,1,1,0,0,0,0,1,0,0
CWN_AUO,1,1,1,0,0,0,0,0,0,0
CWN_AVO,0,0,0,1,1,1,1,1,1,1
CWN_AWO,0,0,0,1,1,1,1,1,1,1
CWN_AZO,0,0,0,1,1,1,1,1,1,1
CWN_BAO,0,0,0,1,1,1,1,1,1,1
CWN_BDO,0,0,0,1,1,1,1,1,1,1
CWN_BIO,0,0,0,1,1,1,1,1,1,1
CWN_BJO,0,0,0,1,1,1,1,1,1,1
CWN_BKO,0,0,0,1,1,1,1,1,1,1
CWN_BLO,0,0,0,1,1,1,1,1,1,1
CWN_BMO,0,0,0,1,1,1,1,1,1,1
CWN_BNO,0,0,0,1,1,1,1,1,1,1
CWN_BOO,0,0,0,1,1,1,1,1,1,1
CWN_BQO,0,0,0,1,1,1,1,1,1,1
CWN_BRO,0,0,0,1,1,1,1,1,0,1
CWN_BSO,0,0,0,1,1,1,1,1,0,1
CWN_BTO,0,0,0,1,1,1,1,1,1,1
CWN_BUO,0,0,0,1,1,1,1,1,0,1
CWN_BVO,0,0,0,1,1,1,1,1,0,1
CWN_BWO,0,0,0,1,1,1,1,1,1,1
CWN_BXO,0,0,0,1,1,1,1,1,0,1
CWN_BYO,0,0,0,1,1,1,1,1,1,1
CWN_BZO,0,0,0,1,1,1,1,1,1,1
CWN_CAO,0,0,0,1,1,1,1,1,1,1
CWN_CBO,0,0,0,1,1,1,1,1,1,1
CWN_CCO,0,0,0,1,1,1,1,1,0,1
CWN_CDO,1,0,0,1,1,1,1,1,0,1
CWN_CEO,1,0,0,1,1,1,1,1,0,1
CWN_CFO,1,0,0,1,1,1,1,1,0,1
CWN_CGO,1,0,0,1,1,1,1,1,1,1
CWN_CHO,1,0,0,1,1,1,1,1,0,1
CWN_CIO,0,0,0,1,1,1,1,1,1,1
CWN_CJO,0,0,0,1,1,1,1,1,1,1
DDI_AAO,0,0,0,1,1,1,1,1,1,1
DDI_ABO,0,0,0,1,1,1,1,1,1,1
DDI_ACO,0,0,0,1,1,1,1,1,1,1
DDI_ADO,0,0,0,1,1,1,1,1,0,1
DDI_AEO,0,0,0,1,1,1,1,1,0,1
DDI_AFO,0,0,0,1,1,1,1,1,0,1
DDI_AGO,0,0,0,1,1,1,1,1,1,1
DDI_AHO,0,0,0,1,1,1,1,1,1,1
DDI_AIO,0,0,0,1,1,1,1,1,1,1
DDI_AJO,0,0,0,1,1,1,1,1,1,1
DDI_AKO,0,0,0,1,1,1,1,1,1,1
DDI_ALO,0,0,0,1,1,1,1,1,1,1
SRR13661968,1,1,1,0,0,0,0,0,0,0
SRR13661969,1,1,1,0,0,0,0,0,0,0
SRR13661970,1,1,1,0,0,0,0,0,0,0
SRR13661971,1,1,1,1,1,1,1,1,0,1
SRR13661972,1,1,1,0,1,1,1,1,0,1
SRR13661973,1,1,1,0,0,0,0,0,0,0
SRR13661974,1,1,1,0,0,0,0,0,0,0
SRR13661976,1,1,1,0,0,0,0,0,0,0
SRR13661977,1,1,1,0,0,0,0,0,0,0
SRR13661978,0,0,0,1,1,1,1,1,0,1
SRR13661979,1,0,0,1,1,1,1,1,0,1
SRR13661980,1,1,1,0,0,0,0,0,0,0
SRR13661981,1,1,0,0,0,0,0,0,0,0
SRR13661982,1,1,1,0,0,0,0,0,0,0
SRR13661983,1,1,1,0,0,0,0,0,0,0
SRR13661985,1,1,1,0,0,0,0,0,0,0
SRR13661986,1,1,1,0,0,0,0,0,0,0
SRR13661987,1,1,1,0,0,0,0,0,0,0
SRR13661989,1,0,0,1,1,1,1,1,1,1
SRR13661990,1,1,1,0,0,0,0,0,0,0
SRR13661991,1,1,1,0,0,0,0,0,0,0
SRR13661992,1,1,1,0,0,0,0,0,0,0
SRR13661993,1,1,1,0,0,0,0,0,0,0
SRR13661994,1,1,1,0,0,0,0,0,0,0
SRR13661995,1,1,1,0,0,0,0,0,0,0
SRR13661996,0,0,0,1,1,1,1,1,0,1
SRR13661997,0,0,0,1,1,1,1,1,0,1
SRR13661998,0,0,0,1,1,1,1,1,1,1
SRR13661999,0,0,0,1,1,1,1,1,1,1
SRR13662000,1,0,0,1,1,1,1,1,0,1
SRR13662001,0,0,0,1,1,1,1,1,1,1
SRR13662002,0,0,0,1,1,1,1,1,0,1
SRR13662004,0,0,0,1,1,1,1,1,1,1
SRR13662005,0,0,0,1,1,1,1,1,1,1
SRR13662006,0,0,0,1,1,1,1,1,1,1
SRR13662007,0,0,0,1,1,1,1,1,0,1
SRR13662008,0,0,0,1,1,1,1,1,1,1
SRR13662009,0,0,0,1,1,1,1,1,0,1
SRR13662010,0,0,0,1,1,1,1,1,0,1
SRR13662011,1,1,1,0,0,0,0,0,0,0
SRR13662012,0,0,0,1,1,1,1,1,1,1
SRR13662013,0,0,0,1,1,1,1,1,1,1
SRR13662014,0,0,0,1,0,1,1,0,0,0
SRR13662015,0,0,0,1,1,1,0,1,1,1
SRR13662016,0,0,0,1,1,1,1,1,1,1
SRR13662018,0,0,0,1,1,1,1,1,1,1
SRR13662019,0,0,0,1,1,1,1,1,1,1
SRR13662021,0,0,0,1,1,1,1,1,0,1
SRR13662022,1,0,0,1,1,1,1,1,0,1
SRR13662023,0,0,0,1,1,1,1,1,1,1
SRR13662025,0,0,0,1,1,1,1,1,1,1
SRR13662027,0,0,0,1,1,1,1,1,1,1
SRR13662028,0,0,0,1,1,1,1,1,1,1
SRR13662029,0,0,0,1,1,1,1,1,1,1
SRR13662030,0,0,0,1,1,1,0,1,1,1
