,7864,7859,3319,7863,3875,3874,Label
CWN_AAO,1,1,1,0,0,1,0
CWN_ABO,1,1,1,0,0,1,0
CWN_ACO,1,1,1,0,0,1,0
CWN_ADO,1,1,1,0,0,1,0
CWN_AEO,1,1,1,0,0,1,0
CWN_AFO,1,1,1,0,0,1,0
CWN_AGO,1,1,1,0,0,1,0
CWN_AHO,1,1,1,0,0,1,0
CWN_AIO,1,1,1,0,0,1,0
CWN_AJO,1,1,1,0,0,1,0
CWN_AKO,1,1,1,0,0,1,0
CWN_ALO,1,1,1,0,0,1,0
CWN_AMO,1,1,1,0,0,1,0
CWN_ANO,1,1,1,0,0,1,0
CWN_APO,0,0,0,1,1,0,1
CWN_AQO,0,0,0,1,1,0,1
CWN_ARO,0,0,0,1,1,0,1
CWN_ASO,0,0,1,1,1,1,1
CWN_ATO,0,0,0,1,1,0,1
CWN_AUO,0,0,0,1,1,0,1
CWN_AVO,1,1,1,0,0,1,0
CWN_AWO,1,1,1,0,0,1,0
CWN_AZO,1,1,1,0,0,1,0
CWN_BAO,1,1,1,0,0,1,0
CWN_BDO,1,1,1,0,0,1,0
CWN_BIO,1,1,1,0,0,1,0
CWN_BJO,1,1,1,0,0,1,0
CWN_BKO,1,1,1,0,0,1,0
CWN_BLO,1,1,1,0,0,1,0
CWN_BMO,1,1,1,0,0,1,0
CWN_BNO,1,1,1,0,0,1,0
CWN_BOO,1,1,1,0,0,1,0
CWN_BQO,1,1,1,0,0,1,0
CWN_BRO,1,1,1,0,0,1,0
CWN_BSO,1,1,1,0,0,1,0
CWN_BTO,1,1,1,0,0,1,0
CWN_BUO,1,1,1,0,0,1,0
CWN_BVO,1,1,1,0,0,1,0
CWN_BWO,1,1,1,0,0,1,0
CWN_BXO,1,1,1,0,0,1,0
CWN_BYO,1,1,1,0,0,1,0
CWN_BZO,1,1,1,0,0,1,0
CWN_CAO,1,1,1,0,0,1,0
CWN_CBO,1,1,1,0,0,1,0
CWN_CCO,1,1,1,0,0,1,0
CWN_CDO,1,1,1,0,0,1,1
CWN_CEO,1,1,1,0,0,1,1
CWN_CFO,1,1,1,0,0,1,1
CWN_CGO,1,1,1,0,0,1,1
CWN_CHO,1,1,1,0,0,1,1
CWN_CIO,1,1,1,0,0,1,0
CWN_CJO,1,1,1,0,0,1,0
DDI_AAO,1,1,1,0,0,1,0
DDI_ABO,1,1,1,0,0,1,0
DDI_ACO,1,1,1,0,0,1,0
DDI_ADO,1,1,1,0,0,1,0
DDI_AEO,1,1,1,0,0,1,0
DDI_AFO,1,1,1,0,0,1,0
DDI_AGO,1,1,1,0,0,1,0
DDI_AHO,1,1,1,0,0,1,0
DDI_AIO,1,1,1,0,0,1,0
DDI_AJO,1,1,1,0,0,1,0
DDI_AKO,1,1,1,0,0,1,0
DDI_ALO,1,1,1,0,0,1,0
SRR13661968,0,0,0,1,1,0,1
SRR13661969,0,0,0,1,1,0,1
SRR13661970,0,0,0,1,1,0,1
SRR13661971,1,1,1,1,1,1,1
SRR13661972,1,1,1,1,1,0,1
SRR13661973,0,0,0,1,1,0,1
SRR13661974,0,0,0,1,1,0,1
SRR13661976,0,0,0,1,1,0,1
SRR13661977,0,0,0,1,1,0,1
SRR13661978,1,1,1,0,0,1,0
SRR13661979,1,1,1,0,0,1,1
SRR13661980,0,0,0,1,1,0,1
SRR13661981,0,0,0,0,1,0,1
SRR13661982,0,0,0,1,1,0,1
SRR13661983,0,0,0,1,1,0,1
SRR13661985,0,0,0,1,1,0,1
SRR13661986,0,0,0,1,1,0,1
SRR13661987,0,0,0,1,1,0,1
SRR13661989,1,1,1,0,0,1,1
SRR13661990,0,0,0,1,1,0,1
SRR13661991,0,0,0,1,1,0,1
SRR13661992,0,0,0,1,1,0,1
SRR13661993,0,0,0,1,1,0,1
SRR13661994,0,0,0,1,1,0,1
SRR13661995,0,0,0,1,1,0,1
SRR13661996,1,1,1,0,0,1,0
SRR13661997,1,1,1,0,0,1,0
SRR13661998,1,1,1,0,0,1,0
SRR13661999,1,1,1,0,0,1,0
SRR13662000,1,1,1,0,0,1,1
SRR13662001,1,1,1,0,0,1,0
SRR13662002,1,1,1,0,0,1,0
SRR13662004,1,1,1,0,0,1,0
SRR13662005,1,1,1,0,0,1,0
SRR13662006,1,1,1,0,0,1,0
SRR13662007,1,1,1,0,0,1,0
SRR13662008,1,1,1,0,0,1,0
SRR13662009,1,1,1,0,0,1,0
SRR13662010,1,1,1,0,0,1,0
SRR13662011,0,0,0,1,1,0,1
SRR13662012,1,1,1,0,0,1,0
SRR13662013,1,1,1,0,0,1,0
SRR13662014,1,1,0,0,0,1,0
SRR13662015,0,1,1,0,0,1,0
SRR13662016,1,1,1,0,0,1,0
SRR13662018,1,1,1,0,0,1,0
SRR13662019,1,1,1,0,0,1,0
SRR13662021,1,1,1,0,0,1,0
SRR13662022,1,1,1,0,0,1,1
SRR13662023,1,1,1,0,0,1,0
SRR13662025,1,1,1,0,0,1,0
SRR13662027,1,1,1,0,0,1,0
SRR13662028,1,1,1,0,0,1,0
SRR13662029,1,1,1,0,0,1,0
SRR13662030,0,1,1,0,0,1,0
SRR13662031,1,1,1,0,0,1,0
SRR13662032,1,1,1,0,0,1,0
SRR13662033,1,1,1,0,0,1,1
SRR13662034,1,1,0,0,0,1,0
SRR13662035,1,1,1,0,0,1,0
SRR13662037,1,1,1,0,0,1,0
SRR13662038,1,1,1,0,0,1,0
SRR13662039,1,1,1,0,0,1,0
SRR13662040,1,1,1,0,0,1,0
SRR13662041,0,1,1,0,0,1,0
SRR13662042,1,1,1,0,0,1,0
SRR13662043,1,1,1,0,0,1,0
SRR13662044,0,0,0,1,1,0,1
SRR13662045,1,1,1,0,0,1,0
SRR13662046,0,0,1,0,0,1,0
SRR13662047,1,1,1,0,0,1,0
SRR13662048,1,1,1,0,0,1,0
SRR13662049,1,1,1,0,0,1,0
SRR13662050,1,1,1,0,0,1,0
SRR13662051,1,1,1,0,0,1,0
SRR13662052,1,1,1,0,0,1,0
SRR13662053,1,1,1,0,0,1,0
SRR13662054,1,1,1,0,0,1,0
SRR13662055,0,0,0,1,1,0,1
SRR13662056,1,1,1,0,0,1,0
SRR13662057,0,0,1,0,0,1,0
SRR13662058,1,1,1,0,0,1,0
SRR13662060,0,0,0,1,1,0,1
SRR13662061,0,0,0,1,1,0,1
